,id,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
52,33,142288,-0.00879708,0.64525999,0.33479426,0.45946874,0.54053126,0.46680524,0.044794,0.00167339,0.01713903,0.01418858,113542,0.31046573,Black
53,34,145801,0.01567508,0.62648962,0.34739044,0.4438663,0.5561337,0.46520503,0.04126465,0.00091316,0.03930048,0.01303411,116080,0.27909917999999995,Black
54,35,143257,-0.00204686,0.59106258,0.39210137,0.4399225,0.5600775,0.46447078,0.05012391,0.00087415,0.03123507,0.01644663,110965,0.19896121,Black
55,1,84409,-0.01899669,0.52679065,0.45733751,0.46227804,0.53772196,0.48882312,0.0213923,0.00126191,0.01066611,0.01641979,66566,0.06945314000000002,Black
56,2,87211,0.01356821,0.46501474,0.51699817,0.46164859,0.53835141,0.48548447,0.03263228,0.00132832,0.00664158,0.01644159,67755,-0.05198343000000005,Black
57,3,88848,0.03259346,0.43058509,0.55087015,0.50682389,0.49317611,0.43896539,0.0294865,0.00050209,0.00861164,0.01685812,65725,-0.12028505999999994,White
58,4,87881,0.02135497,0.28765477,0.68799135,0.81548258,0.18451742,0.08910502,0.0392056,0.00104367,0.01485336,0.03575696,66113,-0.40033658,White
59,5,87820,0.02064603,0.70998591,0.2708449,0.32071875,0.67928125,0.53396253,0.11728177,0.0013834,0.01317306,0.02633076,65057,0.43914101,Black
60,6,85436,-0.00706088,0.70350098,0.27307012,0.35056294,0.64943706,0.51945994,0.09201417,0.00097188,0.03024775,0.02301102,66881,0.43043086,Black
61,7,88247,0.02560863,0.59185898,0.37833701,0.70011891,0.29988109,0.18875088,0.03264996,0.00091689,0.05614533,0.02091661,69801,0.21352197000000006,White
62,8,86666,0.00723421,0.47323084,0.50062698,0.66786414,0.33213586,0.22268571,0.05375275,0.00146963,0.02446411,0.03095125,67364,-0.02739614000000007,White
63,9,89096,0.03547573,0.22938791,0.75133092,0.81668463,0.18331537,0.09552042,0.0353186,0.0016469,0.01417834,0.03274344,66792,-0.52194301,White
64,10,83091,-0.03431452,0.19306289,0.7850098,0.84234911,0.15765089,0.07088968,0.03371525,0.00137741,0.01105059,0.03333959,63888,-0.59194691,White
65,11,83659,-0.02771321,0.20428637,0.77754393,0.83741822,0.16258178,0.10648887,0.02219301,0.0007669,0.00464832,0.02402417,63894,-0.57325756,White
66,12,84125,-0.02229735,0.34829099,0.62600937,0.69813047,0.30186953,0.19379979,0.05911493,0.00126213,0.02500592,0.02295496,63385,-0.27771838,White
67,13,86573,0.00615336,0.51289833,0.46160255,0.62718911,0.37281089,0.26225827,0.05423336,0.00154994,0.02505975,0.03023104,69035,0.05129577999999996,White
68,14,89069,0.03516193,0.18296253,0.79823705,0.91226496,0.08773504,0.01558132,0.02234941,0.00797458,0.00509078,0.02891151,67966,-0.61527452,White
69,15,86867,0.00957024,0.17765257,0.80242619,0.89466688,0.10533312,0.01837274,0.03628764,0.00104861,0.00797531,0.03612518,67709,-0.62477362,White
70,16,87829,0.02075062,0.63062523,0.33355334,0.76044706,0.23955294,0.07074822,0.07651544,0.00498266,0.04291692,0.04399053,72652,0.29707189000000006,White
71,17,87577,0.01782187,0.32352126,0.64708515,0.82179826,0.17820174,0.01677139,0.06549191,0.00904593,0.02068725,0.06341256,65886,-0.32356389,White
72,18,89711,0.04262327,0.42852937,0.54127592,0.47288775,0.52711225,0.02970392,0.35702479,0.07866485,0.0311161,0.04575142,62315,-0.11274655,Minority
73,19,89934,0.04521498,0.46306577,0.50692313,0.58428277,0.41571723,0.02751348,0.2373341,0.01154475,0.10111508,0.04525483,66004,-0.04385736000000001,White
