,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority
37,17,760213,0.66448282,0.29070772,0.21903296,0.78096704,0.02350372,0.13004153,0.00675167,0.61920279,0.01449374,601777,0.3737751,0.72467538,0.2555355,0.46913988,-0.09536478,0.37542797457471266,0.4167432834252873,-0.04131530885057464,Asian
38,18,759555,0.65985348,0.30511024,0.26478255,0.73521745,0.03753187,0.33850353,0.00796258,0.35148635,0.03169421,595787,0.35474324,0.70963237,0.26996155,0.43967082,-0.08492758,0.35639611457471265,0.3872742234252874,-0.030878108850574716,Asian
39,19,760608,0.59688031,0.37347183,0.36017399,0.63982601,0.02813284,0.51699739,0.00819661,0.08109472,0.04688864,572676,0.22340848,0.65261621,0.32537477,0.32724144,-0.10383296,0.2250613545747126,0.2748448434252874,-0.0497834888505748,Hispanic
40,20,759782,0.32738228,0.64992156,0.49225528,0.50774472,0.04239615,0.37087959,0.00454912,0.06522362,0.0454645,561867,-0.32253928,0.35946466,0.61783557,-0.25837091,-0.06416837,-0.32088640542528735,-0.31076750657471264,-0.010118898850574688,Minority
41,21,760248,0.51800616,0.4551226,0.2478896,0.7521104,0.06478903,0.54730914,0.00415451,0.12948967,0.04193001,543024,0.06288356,0.59193601,0.38725019,0.20468582,-0.14180226,0.06453643457471266,0.15228922342528733,-0.08775278885057466,Hispanic
42,22,760190,0.46364848,0.5096968,0.18677495,0.81322505,0.05951933,0.69049216,0.00358218,0.05264521,0.0404713,544361,-0.04604832,0.5564926,0.41931733,0.13717527,-0.18322359,-0.04439544542528733,0.08477867342528737,-0.1291741188505747,Hispanic
43,23,760206,0.38926134,0.58506648,0.45378666,0.54621334,0.09436775,0.37291309,0.00751788,0.05505196,0.04418517,568245,-0.19580514,0.42488589,0.55200761,-0.12712172,-0.06868342,-0.1941522654252874,-0.17951831657471262,-0.014633948850574764,Minority
44,24,760529,0.6054659,0.36321012,0.54479181,0.45520819,0.02558482,0.33608189,0.00465535,0.07280312,0.03812159,612199,0.24225578,0.62988591,0.34634042,0.28354549,-0.04128971,0.2439086545747126,0.23114889342528744,0.012759761149425196,White
45,25,759359,0.5341225,0.44441039,0.33102439,0.66897561,0.04812359,0.56770992,0.0036294,0.04177725,0.03711623,587425,0.08971211,0.58563364,0.39655775,0.18907589,-0.09936378,0.09136498457471261,0.13667929342528734,-0.045314308850574726,Hispanic
46,26,759445,0.55166788,0.42007839,0.45587378,0.54412622,0.02711604,0.39754513,0.00527455,0.10541946,0.03491195,586590,0.13158949,0.58755109,0.39141268,0.19613841,-0.06454892,0.1332423645747126,0.1437418134252874,-0.010499448850574779,Minority
47,27,760672,0.50617852,0.46450894,0.34871329,0.65128671,0.11453524,0.43341148,0.00479897,0.09369471,0.03713808,570331,0.04166958,0.55481194,0.42275234,0.1320596,-0.09039002,0.04332245457471263,0.07966300342528736,-0.03634054885057473,Hispanic
48,28,759688,0.60661981,0.3595105,0.17163216,0.82836784,0.0269543,0.27206985,0.00372111,0.52968124,0.02029168,622127,0.24710931,0.66488712,0.31654151,0.34834561,-0.1012363,0.2487621845747126,0.2959490134252874,-0.04718682885057477,Asian
49,29,760105,0.63531718,0.33292722,0.22283788,0.77716212,0.04906488,0.61416149,0.00320922,0.11144853,0.03663211,591421,0.30238996,0.72647432,0.25134332,0.475131,-0.17274104,0.30404283457471265,0.4227344034252874,-0.11869156885057472,Hispanic
50,30,759716,0.6860956,0.28135309,0.58861442,0.41138558,0.06099195,0.19295367,0.00350151,0.1476133,0.02015352,641724,0.40474251,0.717324,0.26470625,0.45261775,-0.04787524,0.4063953845747127,0.40022115342528736,0.006174231149425356,White
51,31,759802,0.57032403,0.39927711,0.19977311,0.80022689,0.03508223,0.54970192,0.00397053,0.21360221,0.03617651,597653,0.17104692,0.63861611,0.34054428,0.29807183,-0.12702491,0.17269979457471263,0.24567523342528735,-0.0729754388505747,Hispanic
52,32,759469,0.63856585,0.33226889,0.57238191,0.42761809,0.05954861,0.20816501,0.00393331,0.1490023,0.01950669,619326,0.30629696,0.68893585,0.29283556,0.39610029,-0.08980333,0.30794983457471264,0.3437036934252874,-0.03575385885057473,White
53,33,760663,0.54473569,0.4259221,0.18134347,0.81865653,0.1149922,0.61037444,0.00572353,0.0897163,0.03941627,552107,0.11881359,0.63689288,0.33977035,0.29712253,-0.17830894,0.12046646457471262,0.24472593342528737,-0.12425946885057473,Hispanic
54,34,759403,0.74257074,0.21117368,0.1780579,0.8219421,0.06749161,0.51641953,0.00354892,0.23698238,0.04085161,627515,0.53139706,0.80743248,0.17030838,0.6371241,-0.10572704,0.5330499345747126,0.5847275034252873,-0.05167756885057471,Hispanic
55,35,760423,0.51067455,0.45970647,0.2336729,0.7663271,0.07517226,0.51975921,0.00533762,0.16705987,0.03576951,587903,0.05096808,0.58473868,0.39411888,0.1906198,-0.13965172,0.052620954574712615,0.13822320342528732,-0.08560224885057469,Hispanic
56,36,759444,0.65501921,0.31284304,0.57939305,0.42060695,0.0448163,0.14122355,0.00564318,0.21819301,0.01703716,631913,0.34217617,0.68970888,0.2897446,0.39996428,-0.05778811,0.3438290445747126,0.3475676834252873,-0.0037386388505747173,White
57,37,760417,0.79673028,0.17107527,0.18866469,0.81133531,0.23557783,0.47372198,0.003632,0.10011995,0.03608742,597743,0.62565501,0.85784768,0.12281953,0.73502815,-0.10937314,0.6273078845747126,0.6826315534252874,-0.05532366885057469,Hispanic
58,38,760629,0.59591674,0.37256401,0.14541386,0.85458614,0.02939541,0.7199688,0.00405887,0.1027466,0.04327761,589820,0.22335273,0.67840257,0.29930923,0.37909334,-0.15574061,0.22500560457471258,0.32669674342528743,-0.10169113885057482,Hispanic
59,39,759592,0.53798094,0.43173532,0.21809415,0.78190585,0.10377052,0.594183,0.00655928,0.07648876,0.03915134,562867,0.10624562,0.62693857,0.35115112,0.27578745,-0.16954183,0.10789849457471264,0.22339085342528736,-0.11549235885057471,Hispanic
60,40,760855,0.47061523,0.49607109,0.56015753,0.43984247,0.02303249,0.20199132,0.00532943,0.19925738,0.02105918,599501,-0.02545586,0.49626554,0.48362581,0.01263973,-0.03809559,-0.023802985425287353,-0.039756866574712627,0.015953881149425274,White
61,41,759807,0.4488348,0.52203055,0.38640405,0.61359595,0.07446688,0.41338697,0.0071872,0.11160106,0.03503043,574215,-0.07319575,0.49521237,0.48568824,0.00952413,-0.08271988,-0.07154287542528735,-0.04287246657471262,-0.028670408850574737,Hispanic
62,42,759566,0.63347891,0.33219742,0.23954368,0.76045632,0.07925988,0.56172676,0.0076959,0.11265326,0.03889816,592393,0.30128149,0.69729187,0.27893915,0.41835272,-0.11707123,0.3029343645747126,0.3659561234252874,-0.06302175885057473,Hispanic
63,43,760171,0.65534323,0.31197209,0.11089844,0.88910156,0.10665544,0.66586304,0.01098577,0.11255624,0.04125505,573651,0.34337114,0.74793652,0.22768755,0.52024897,-0.17687783,0.3450240145747127,0.4678523734252874,-0.12282835885057466,Hispanic
64,44,760301,0.75209082,0.21792553,0.05782188,0.94217812,0.31732002,0.53557719,0.0086642,0.08922328,0.03470396,572586,0.53416529,0.82803602,0.15091408,0.67712194,-0.14295665,0.5358181645747127,0.6247253434252873,-0.08890717885057461,Hispanic
65,45,760233,0.4934624,0.47683702,0.27866892,0.72133108,0.02929153,0.27056427,0.00810135,0.41209894,0.02267684,604714,0.01662538,0.52293154,0.45768445,0.06524709,-0.04862171,0.018278254574712667,0.01285049342528731,0.005427761149425357,Asian
66,46,760059,0.57507665,0.3942972,0.1727339,0.8272661,0.02577293,0.61843801,0.00645878,0.17695223,0.04368615,578902,0.18077945,0.64139248,0.3369847,0.30440778,-0.12362833,0.1824323245747126,0.2520111834252874,-0.06957885885057477,Hispanic
67,47,760308,0.50297968,0.46246478,0.53343617,0.46656383,0.02421189,0.15944722,0.00598209,0.26666623,0.01790089,617176,0.0405149,0.54361718,0.43514702,0.10847016,-0.06795526,0.042167774574712664,0.056073563425287395,-0.013905788850574731,White
68,48,759815,0.3880422,0.58793025,0.58830187,0.41169813,0.04947313,0.2395264,0.00948334,0.09392252,0.03931524,579648,-0.19988805,0.40424397,0.57419334,-0.16994937,-0.02993868,-0.19823517542528735,-0.22234596657471262,0.02411079114942529,White
69,49,760114,0.52707629,0.44466213,0.57006793,0.42993207,0.03563637,0.28329843,0.01006276,0.09018088,0.03047336,596357,0.08241416,0.54627584,0.43056554,0.1157103,-0.03329614,0.08406703457471267,0.06331370342528729,0.020753331149425368,White
70,50,760450,0.59532068,0.37250694,0.55238329,0.44761671,0.03613832,0.18963816,0.00696777,0.20436818,0.01976504,607942,0.22281374,0.61692536,0.35921702,0.25770834,-0.0348946,0.22446661457471268,0.20531174342528735,0.019154871149425344,White
71,51,759527,0.66465292,0.30232889,0.49280685,0.50719315,0.07787972,0.24238825,0.00937922,0.17235033,0.02621668,620521,0.36232403,0.688505,0.2877582,0.4007468,-0.03842277,0.3639769045747126,0.3483502034252874,0.015626701149425236,Minority
72,52,760751,0.58039585,0.39406408,0.17222363,0.82777637,0.09256267,0.56487251,0.01159743,0.17219954,0.0326707,581163,0.18633177,0.65861371,0.32044312,0.33817059,-0.15183882,0.1879846445747127,0.28577399342528736,-0.09778934885057464,Hispanic
73,1,721689,0.76745686,0.20460447,0.58791082,0.41208918,0.09704478,0.24424493,0.00358642,0.05219916,0.03341135,586657,0.56285239,0.79613935,0.18110119,0.61503816,-0.05218577,0.5645052645747126,0.5626415634252874,0.0018637011494252662,White
74,2,721072,0.68276248,0.28857468,0.78657968,0.21342032,0.01619734,0.12369672,0.00248284,0.04608871,0.02348376,586022,0.3941878,0.68417977,0.29011126,0.39406851,0.00011928999999999412,0.3958406745747126,0.34167191342528735,0.05416876114942528,White
75,3,721807,0.43879986,0.53611505,0.70164356,0.29835644,0.01487227,0.22727305,0.00257631,0.01433415,0.04850855,568642,-0.09731519,0.44670592,0.52963907,-0.08293315,-0.01438204,-0.0956623154252874,-0.13532974657471264,0.039667431149425246,White
76,4,722069,0.35134212,0.62360616,0.72969143,0.27030857,0.02224892,0.19250656,0.00284916,0.02586204,0.03230033,541914,-0.27226404,0.34819613,0.62450832,-0.27631219,0.00404815,-0.2706111654252874,-0.32870878657471264,0.05809762114942526,White
77,5,721519,0.45243919,0.51931244,0.69728532,0.30271468,0.07410767,0.15534264,0.00715742,0.04189927,0.03668179,564449,-0.06687325,0.44327923,0.52011458,-0.07683535,0.0099621,-0.06522037542528734,-0.1292319465747126,0.06401157114942527,White
78,6,722098,0.50896788,0.46451733,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291,545058,0.04445055,0.51554441,0.45912951,0.0564149,-0.01196435,0.04610342457471268,0.004018303425287292,0.042085121149425385,White
79,7,721975,0.58528135,0.38626556,0.76498476,0.23501524,0.01893944,0.13813405,0.00242511,0.04913707,0.0300259,576469,0.19901579,0.58129397,0.39097501,0.19031896,0.00869683,0.20066866457471266,0.1379223634252874,0.06274630114942528,White
80,8,721485,0.56727831,0.40365969,0.45801264,0.54198736,0.10478288,0.35679587,0.00483562,0.06033699,0.04062809,540365,0.16361862,0.61498881,0.35658996,0.25839885,-0.09478023,0.16527149457471257,0.20600225342528744,-0.040730758850574846,Minority
81,1,721936,0.65033476,0.33152906,0.55661611,0.44338389,0.18593845,0.18368157,0.00156985,0.07296846,0.01455523,572028,0.3188057,0.67791735,0.30706862,0.37084873,-0.05204303,0.32045857457471266,0.31845213342528733,0.0020064411494253517,White
82,2,720885,0.53187777,0.4512168,0.81067488,0.18932512,0.04949698,0.076383,0.00186704,0.04175577,0.02069784,585955,0.08066097,0.54848533,0.43145616,0.11702917,-0.0363682,0.0823138445747127,0.06463257342528737,0.017681271149425325,White
83,3,721393,0.5461204,0.43389265,0.65938219,0.34061781,0.13598764,0.14489446,0.00126995,0.05387163,0.01479149,582700,0.11222775,0.57787132,0.40900164,0.16886968,-0.05664193,0.11388062457471261,0.11647308342528732,-0.0025924588505747206,White
84,4,720277,0.62263268,0.3618458,0.57372595,0.42627405,0.14695464,0.20820406,0.00137467,0.06149264,0.01256121,555042,0.26078688,0.66426496,0.32207117,0.34219379,-0.08140691,0.2624397545747127,0.28979719342528737,-0.027357438850574657,White
85,5,721453,0.48380102,0.50124863,0.72834968,0.27165032,0.07502851,0.14101956,0.00139319,0.03312107,0.01508626,573502,-0.01744761,0.50705168,0.47767304,0.02937864,-0.04682625,-0.015794735425287303,-0.02301795657471263,0.007223221149425328,White
86,1,989948,0.56567569,0.41948412,0.62437671,0.37562329,0.22762886,0.08666531,0.001349,0.04834195,0.01994402,783543,0.14619157,0.58782167,0.39801393,0.18980774,-0.04361617,0.14784444457471257,0.13741114342528732,0.010433301149425277,White
87,1,769572,0.30809179,0.67711506,0.71997717,0.28002283,0.13724982,0.06679952,0.0037943,0.04229988,0.03178636,606172,-0.36902327,0.32859008,0.65132379,-0.32273371,-0.04628956,-0.3673703954252874,-0.3751303065747126,0.0077599111494252235,White
88,2,769202,0.53509469,0.44847141,0.59128576,0.40871424,0.25974393,0.08665734,0.00154682,0.04752581,0.01734111,622567,0.08662328,0.57152581,0.41416282,0.15736299,-0.07073971,0.08827615457471262,0.1049663934252874,-0.01669023885057478,White
89,3,769840,0.26722884,0.72189373,0.74156721,0.25843279,0.12872454,0.08437058,0.00188531,0.01921538,0.02553303,621117,-0.45466489,0.29228988,0.69660731,-0.40431743,-0.05034746,-0.45301201542528735,-0.4567140265747126,0.003702011149425276,White
90,4,768646,0.32693314,0.65866493,0.76113914,0.23886086,0.08960291,0.07991561,0.0026078,0.04587216,0.02078548,598206,-0.33173179,0.34287399,0.64301304,-0.30013905,-0.03159274,-0.3300789154252874,-0.35253564657471265,0.02245673114942528,White
91,5,768810,0.52995152,0.45366916,0.46992048,0.53007952,0.35172022,0.10693848,0.00285216,0.06069977,0.01899882,599195,0.07628236,0.55715502,0.42667717,0.13047785,-0.05419549,0.07793523457471264,0.07808125342528731,-0.00014601885057467096,Minority
92,6,769976,0.34105843,0.64803529,0.73326531,0.26673469,0.093231,0.13217434,0.00172703,0.02070208,0.02165871,628246,-0.30697686,0.37244724,0.61667368,-0.24422644,-0.06275042,-0.3053239854252874,-0.2966230365747126,-0.008700948850574743,White
93,7,769731,0.50535465,0.47669995,0.55781113,0.44218887,0.12416929,0.24273349,0.00239083,0.06869712,0.01855934,616940,0.0286547,0.54109759,0.443918,0.09717959,-0.06852489,0.030307574574712677,0.044782993425287396,-0.014475418850574719,White
94,8,769594,0.38613895,0.59983857,0.75048471,0.24951529,0.10735284,0.0865999,0.00213085,0.03327521,0.02093235,635428,-0.21369962,0.41299991,0.57310933,-0.16010942,-0.0535902,-0.21204674542528734,-0.21250601657471258,0.0004592711494252541,White
95,9,768697,0.51430058,0.47032556,0.30199106,0.69800894,0.12761085,0.52325717,0.00313462,0.05461774,0.0191168,592097,0.04397502,0.58948002,0.39814669,0.19133333,-0.14735831,0.045627894574712675,0.13893673342528734,-0.09330883885057464,Hispanic
96,10,768586,0.56226556,0.42135748,0.4029962,0.5970038,0.28605084,0.23018455,0.0026514,0.05961325,0.01690036,588745,0.14090808,0.60731289,0.38022267,0.22709022,-0.08618214,0.14256095457471268,0.17469362342528738,-0.032132668850574676,Minority
97,11,769849,0.33138184,0.65855489,0.77008432,0.22991568,0.07858793,0.10858445,0.00151178,0.02242064,0.01892657,648242,-0.32717305,0.35338069,0.63756683,-0.28418614,-0.04298691,-0.3255201754252874,-0.33658273657471266,0.011062561149425297,White
98,12,769906,0.37014615,0.61681563,0.76955128,0.23044872,0.05474199,0.12512502,0.00166316,0.03085069,0.01967191,625918,-0.24666948,0.39458844,0.59293644,-0.198348,-0.04832148,-0.2450166054252873,-0.25074459657471265,0.00572799114942537,White
99,13,768405,0.48439349,0.50095145,0.72485317,0.27514683,0.11465593,0.09651032,0.00183611,0.04386035,0.01839648,649744,-0.01655796,0.51321617,0.47300663,0.04020954,-0.0567675,-0.014905085425287339,-0.012187056574712654,-0.0027180288505746844,White
100,14,768763,0.53405075,0.44859962,0.42526785,0.57473215,0.23281795,0.29202476,0.00240025,0.05126955,0.01803093,602853,0.08545113,0.59704626,0.3872784,0.20976786,-0.12431673,0.08710400457471269,0.1573712634252874,-0.0702672588505747,Minority
101,15,768932,0.43192036,0.55129984,0.55389499,0.44610501,0.12108404,0.25204741,0.00198898,0.0636457,0.01959054,594777,-0.11937948,0.47054844,0.51613535,-0.04558691,-0.07379257,-0.11772660542528733,-0.09798350657471262,-0.019743098850574715,White
