,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
0,1,558038,0.2338852,0.75334998,0.77855963,0.22144037,0.13184408,0.03546142,0.0012057,0.01932568,0.03077181,435431,-0.51946478,White
1,2,558927,0.5891416,0.40144955,0.42648284,0.57351716,0.51925991,0.02631399,0.00100805,0.01238105,0.01869559,439462,0.18769205000000005,Black
2,3,558678,0.34760769,0.63949961,0.65659406,0.34340594,0.26512942,0.03371537,0.00147421,0.02483139,0.02028117,438880,-0.29189191999999997,White
3,4,557320,0.17652044,0.81195857,0.83343614,0.16656386,0.07434575,0.05015766,0.00086082,0.00686353,0.03325891,434470,-0.63543813,White
4,5,559028,0.39949557,0.57818667,0.67998154,0.32001846,0.21022442,0.05040708,0.00206736,0.0302543,0.03010581,437756,-0.1786911,White
5,6,558172,0.25460144,0.73084386,0.76135024,0.23864976,0.14908696,0.04733557,0.00108981,0.0179457,0.02290235,428515,-0.47624242,White
6,7,558772,0.6431549,0.3397836,0.43986114,0.56013886,0.47564857,0.04668224,0.00107781,0.02574617,0.01494518,436997,0.30337129999999995,Black
7,8,558086,0.46941828,0.5182297,0.50351637,0.49648363,0.41613693,0.03923764,0.00159783,0.02556987,0.01865208,434965,-0.048811419999999994,White
8,9,557258,0.18167704,0.8061526,0.81891151,0.18108849,0.0820358,0.05443591,0.00084283,0.00897629,0.0360143,430690,-0.62447556,White
9,1,577941,0.76991009,0.20181743,0.70550949,0.29449051,0.06324306,0.1749433,0.00172531,0.03968887,0.01215915,451512,0.56809266,White
10,2,577552,0.6049072,0.36876137,0.8272797,0.1727203,0.01262705,0.11466809,0.00073829,0.03207771,0.01120416,446977,0.23614583,White
11,3,576509,0.51687478,0.45638173,0.73264318,0.26735682,0.01435075,0.21404575,0.0006768,0.0110202,0.02687149,449175,0.06049304999999999,White
12,4,576825,0.29256403,0.68374928,0.78030914,0.21969086,0.03066441,0.15218382,0.00112699,0.01845836,0.0164648,445435,-0.39118525000000004,White
13,5,577998,0.4757294,0.49564764,0.70745947,0.29254053,0.07365068,0.16027038,0.00280231,0.03641405,0.01284069,436425,-0.019918239999999976,White
14,6,576775,0.61443942,0.35574737,0.50772809,0.49227191,0.18656552,0.21967378,0.00171529,0.06875758,0.01151846,376613,0.25869204999999995,White
15,7,577816,0.58286567,0.38856689,0.80790789,0.19209211,0.01577037,0.13149908,0.00061715,0.03244221,0.01065023,453699,0.19429878,White
16,8,577498,0.5407601,0.43147441,0.56515039,0.43484961,0.03963148,0.33938218,0.00158668,0.03939792,0.01248528,393904,0.10928568999999999,White
17,9,576859,0.54590753,0.42555223,0.81750862,0.18249138,0.01399598,0.12596821,0.00093219,0.03045889,0.00983714,458060,0.12035530000000005,White
18,10,577941,0.50061697,0.47364401,0.82225084,0.17774916,0.02586316,0.09254982,0.00105329,0.04802062,0.00798201,443372,0.026972960000000046,White
19,1,582006,0.30078514,0.68041803,0.73902513,0.26097487,0.13531631,0.0874121,0.00202112,0.02452069,0.01106221,426497,-0.37963289,White
20,2,582543,0.75319256,0.22315299,0.34204397,0.65795603,0.5451444,0.06759229,0.00019033,0.03598372,0.01032525,420329,0.53003957,Black
21,3,582144,0.30874402,0.67768133,0.66504267,0.33495733,0.25818991,0.03795832,0.00034783,0.01187799,0.02620725,425493,-0.36893730999999996,White
22,4,581684,0.39086954,0.59586937,0.56142707,0.43857293,0.37749916,0.03205452,0.00049062,0.01303543,0.01569509,425993,-0.20499982999999994,White
