id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
NC-9,387234,0.59539251,0.3870746,0.57910715,0.42089285,0.19140528,0.12763518,0.00136359,0.09029914,0.0174418,294809,0.20831791,0.58309988,0.39598366,0.18711622,0.18918345,White
NC-10,387159,0.33501516,0.65252422,0.73472678,0.26527322,0.16254204,0.06373615,0.00093506,0.01591586,0.02330384,302654,-0.31750906,0.34117035,0.64820855,-0.3070382,-0.31552849,White
NC-11,385733,0.5380795,0.44552492,0.82278827,0.17721173,0.05353768,0.07844366,0.0032771,0.01667186,0.02340742,314302,0.09255458,0.55540709,0.42738272,0.12802437,0.11120111,White
NC-12,385790,0.69706797,0.28692061,0.41028775,0.58971225,0.41150676,0.10991392,0.00136123,0.0610283,0.01777382,295322,0.41014736,0.6847487,0.29270772,0.39204098,0.39307644,Black
NC-13,386524,0.26304566,0.72424046,0.76614248,0.23385752,0.1110523,0.08292205,0.00081043,0.01599362,0.02498115,302308,-0.4611948,0.26214173,0.72566914,-0.46352741,-0.46774987,White
NC-14,386936,0.54801197,0.43185204,0.68037418,0.31962582,0.11019861,0.08090871,0.00148482,0.11084557,0.01789212,282862,0.11615993,0.55380766,0.42426179,0.12954587,0.12008389,White
NC-15,386347,0.53045115,0.45749186,0.50768786,0.49231214,0.3920013,0.06989479,0.0014778,0.01956337,0.01784647,301124,0.07295929,0.51235648,0.47646842,0.03588806,0.04324514,White
NC-16,386717,0.64165094,0.33850747,0.67816225,0.32183775,0.12564142,0.06702748,0.00141032,0.11423943,0.0150456,309858,0.30314347,0.63366412,0.34401469,0.28964943,0.28914744,White
NC-17,386498,0.3446804,0.63834539,0.63893853,0.36106147,0.18952637,0.12605643,0.00467921,0.02362445,0.02697682,297700,-0.29366499,0.32171364,0.66785991,-0.34614627,-0.33365251,White
NC-18,387255,0.47307812,0.51277439,0.68414017,0.31585983,0.1911809,0.07687797,0.00108445,0.0295193,0.02184297,305224,-0.03969627,0.47444753,0.51080947,-0.03636194,-0.04247338,White
NC-19,386501,0.55846669,0.42578089,0.58631505,0.41368495,0.25790412,0.11360446,0.00142683,0.0286198,0.0223404,300666,0.1326858,0.55417928,0.4296323,0.12454698,0.12225992,White
