id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Swing,Majority,Lean
CA-27,572362,0.51642857,0.45436571,0.24250385,0.75749615,0.17875435,0.51334458,0.00614697,0.05712004,0.04362469,414513,0.06206286,0.58252822,0.39232209,0.19020613,-0.12814327,Hispanic,0.0997772833333334
CA-28,572921,0.61254427,0.3539766,0.13740079,0.86259921,0.02124846,0.30919931,0.00302098,0.53327297,0.02215389,462763,0.25856767,0.6746068,0.30659083,0.36801597,-0.10944830,Asian,0.290050436666667
CA-29,572884,0.68060009,0.28879339,0.34586725,0.65413275,0.06127034,0.4801207,0.00349478,0.1074251,0.03194571,456681,0.39180670,0.74718156,0.23196199,0.51521957,-0.12341287,Hispanic,0.427944323333333
CA-30,573005,0.63174911,0.33538754,0.55690535,0.44309465,0.05631258,0.21410105,0.00339335,0.16578192,0.02135263,471511,0.29636157,0.6622259,0.31766378,0.34456212,-0.04820055,White,0.30742842
CA-31,572253,0.56317231,0.40627247,0.24127587,0.75872413,0.04084322,0.53152034,0.00449644,0.18328128,0.03707963,453025,0.15689984,0.62644137,0.35247462,0.27396675,-0.11706691,Hispanic,0.190922143333333
CA-32,573040,0.59131556,0.37806342,0.46327816,0.53672184,0.05803881,0.2914628,0.00404478,0.17993311,0.02256836,461088,0.21325214,0.65119913,0.32982405,0.32137508,-0.10812294,Minority,0.24429312
CA-33,572781,0.55146657,0.41927032,0.18469589,0.81530411,0.11856608,0.6196558,0.00607028,0.0723561,0.04027651,416620,0.13219625,0.64219733,0.33319476,0.30900257,-0.17680632,Hispanic,0.18613169
CA-34,572174,0.7708278,0.18404134,0.26386464,0.73613536,0.05762537,0.50506533,0.00389139,0.16995757,0.03799366,474895,0.58678646,0.82836513,0.15024597,0.67811916,-0.09133270,Hispanic,0.612230693333333
CA-35,572618,0.51726389,0.45356201,0.1724944,0.8275056,0.06924325,0.56159808,0.00527071,0.19418636,0.03622376,435046,0.06370188,0.60339533,0.37612794,0.22726739,-0.16356551,Hispanic,0.113223716666667
CA-36,572306,0.6558484,0.31068362,0.56540568,0.43459432,0.04718645,0.14891042,0.00664915,0.22133855,0.01893286,470135,0.34516478,0.68209016,0.29573743,0.38635273,-0.04118795,White,0.353894096666667
CA-37,572653,0.81593403,0.15513453,0.07250161,0.92749839,0.37238214,0.51727445,0.00316581,0.04057317,0.03673723,432749,0.66079950,0.88460829,0.09617394,0.78843435,-0.12763485,Hispanic,0.69834445
CA-38,572682,0.57259036,0.39744784,0.16233831,0.83766169,0.02811034,0.68129158,0.00500275,0.1246343,0.04280802,444356,0.17514252,0.65030014,0.327413,0.32288714,-0.14774462,Hispanic,0.219390726666667
CA-39,573228,0.55696803,0.41232563,0.18923661,0.81076339,0.11602891,0.61881131,0.00675999,0.06922772,0.04035913,418344,0.14464240,0.65188574,0.32578429,0.32610145,-0.18145905,Hispanic,0.20012875
CA-40,572837,0.45792032,0.51182415,0.63733638,0.36266362,0.01987117,0.18038948,0.00494969,0.14408077,0.02084092,455786,-0.05390383,0.48020621,0.50047221,-0.02026600,-0.03363783,White,-0.04769122
CA-41,572930,0.47355517,0.50415843,0.51584413,0.48415587,0.06772934,0.31847342,0.00736301,0.07790622,0.03629381,443161,-0.03060326,0.489879,0.49178569,-0.00190669,-0.02869657,White,-0.0260377366666667
CA-42,573344,0.62536621,0.34094029,0.27768924,0.72231076,0.08634421,0.51212126,0.00829157,0.11577035,0.03759834,452387,0.28442592,0.68251678,0.29401165,0.38850513,-0.10407921,Hispanic,0.31411899
CA-43,572974,0.64974241,0.31799134,0.17041529,0.82958471,0.12915363,0.52014606,0.01485782,0.17307017,0.03677192,441451,0.33175107,0.7216671,0.25422285,0.46744425,-0.13569318,Hispanic,0.37198213
CA-44,573257,0.74229081,0.22715459,0.07092953,0.92907047,0.29858856,0.51602501,0.01016792,0.11302679,0.03488748,439126,0.51513622,0.81432274,0.16506407,0.64925867,-0.13412245,Hispanic,0.554843703333333
CA-45,573335,0.49289399,0.47808981,0.21159685,0.78840315,0.03147321,0.29136905,0.0091763,0.45679042,0.02300986,455848,0.01480418,0.52765184,0.45442795,0.07322389,-0.05841971,Asian,0.0292774166666667
CA-46,572437,0.59614744,0.37383239,0.13670165,0.86329835,0.02303241,0.67614584,0.00568935,0.15974562,0.04719946,432738,0.22231505,0.66900865,0.30975021,0.35925844,-0.13694339,Hispanic,0.262962846666667
CA-47,572362,0.46866248,0.50218057,0.62071634,0.37928366,0.02000607,0.1840208,0.00734646,0.15461356,0.02248198,467708,-0.03351809,0.49848837,0.48002628,0.01846209,-0.05198018,White,-0.0211913633333334
CA-48,572576,0.39749756,0.5781789,0.62655946,0.37344054,0.03924412,0.21869083,0.0088395,0.08416884,0.03968767,444143,-0.18068134,0.41049922,0.56722785,-0.15672863,-0.02395271,White,-0.177697103333333
CA-49,572298,0.55625238,0.41493942,0.54031336,0.45968664,0.04093667,0.30405196,0.01162765,0.09420725,0.03179778,446006,0.14131296,0.57541401,0.40033468,0.17507933,-0.03376637,White,0.147568416666667
