Type,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
WR,IL-17,582548,0.47654146,0.50026848,0.74230105,0.25769895,0.10788437,0.10441368,0.00085446,0.02525502,0.02040794,454088,-0.02372702,White
WR,IL-18,582322,0.55257301,0.42658129,0.65785947,0.34214053,0.0287374,0.14245104,0.0008977,0.16226994,0.01466902,461176,0.12599172,White
WR,IL-19,582578,0.54295384,0.44053748,0.58374202,0.41625798,0.06747156,0.29078593,0.00114864,0.0464309,0.02747027,432686,0.10241636,White
WR,IL-20,582978,0.46421035,0.51342235,0.78715644,0.21284356,0.0310804,0.12576886,0.00089784,0.03625079,0.01929459,447742,-0.049212,White
WR,IL-21,582106,0.44090249,0.5327819,0.80435018,0.19564982,0.11394536,0.03211499,0.00129662,0.02705664,0.01864299,452717,-0.09187941,White
WR,IL-22,582573,0.4891934,0.48379665,0.73428774,0.26571226,0.12479881,0.05106768,0.00112948,0.07107251,0.01742874,460389,0.00539675,White
WR,LA-01,582006,0.30078514,0.68041803,0.73902513,0.26097487,0.13531631,0.0874121,0.00202112,0.02452069,0.01106221,426497,-0.37963289,White
WR,LA-02,582543,0.75319256,0.22315299,0.34204397,0.65795603,0.5451444,0.06759229,0.00019033,0.03598372,0.01032525,420329,0.53003957,Black
WR,LA-03,582144,0.30874402,0.67768133,0.66504267,0.33495733,0.25818991,0.03795832,0.00034783,0.01187799,0.02620725,425493,-0.36893731,White
WR,LA-04,581684,0.39086954,0.59586937,0.56142707,0.43857293,0.37749916,0.03205452,0.00049062,0.01303543,0.01569509,425993,-0.20499983,White
WR,LA-05,582965,0.25689092,0.7264079,0.75609487,0.24390513,0.18067711,0.03749451,0.00036782,0.01600701,0.01017478,434997,-0.46951698,White
WR,LA-06,582472,0.57425892,0.41006319,0.40615619,0.59384381,0.54144823,0.02919372,0.00072593,0.01357332,0.00945814,428414,0.16419573,Black
WR,LA-07,582417,0.29772716,0.69094533,0.62826164,0.37173836,0.32885018,0.02337319,0.00053567,0.00612095,0.01456697,433103,-0.39321817,White
WR,LA-08,581526,0.22068285,0.76627584,0.75485013,0.24514987,0.184461,0.03474443,0.0007536,0.0129758,0.011688,419319,-0.54559299,White
WR,MO-01,559666,0.80915482,0.17261803,0.40260354,0.59739646,0.54448817,0.0238494,0.00029755,0.02004847,0.00998944,416740,0.63653679,Black
WR,MO-02,559515,0.59107955,0.390105,0.81426884,0.18573116,0.11252775,0.02868392,0.00022849,0.03860039,0.00538274,415773,0.20097455,White
WR,MO-03,559460,0.43482164,0.54862009,0.87176233,0.12823767,0.05255006,0.03060172,0.00024677,0.03842782,0.00566864,425499,-0.11379845,White
WR,MO-04,559658,0.27888892,0.70902856,0.93826372,0.06173628,0.02249636,0.01899754,0.0003318,0.00762464,0.01115322,437004,-0.43013964,White
WR,MO-05,558884,0.3574728,0.62647968,0.86326683,0.13673317,0.06744497,0.03580598,0.00087751,0.01879211,0.01313706,430766,-0.26900688,White
WR,MO-06,559268,0.67185964,0.30980748,0.60348606,0.39651394,0.27585081,0.08072851,0.00157693,0.02623185,0.01262508,416631,0.36205216,White
WR,MO-07,560438,0.42908967,0.55597426,0.84348301,0.15651699,0.07177537,0.05024656,0.00178001,0.0186057,0.01154271,420785,-0.12688459,White
WR,MO-08,559601,0.2363027,0.75267812,0.92338738,0.07661262,0.03460144,0.02227837,0.00097564,0.00676166,0.01160478,427410,-0.51637542,White
WR,MO-09,559286,0.19706878,0.79275843,0.92023546,0.07976454,0.0146931,0.03060965,0.00077136,0.00797459,0.02531268,429113,-0.59568965,White
WR,MO-10,559523,0.29855512,0.68917647,0.90344335,0.09655665,0.02515564,0.03822771,0.00062781,0.01523173,0.01564266,438033,-0.39062135,White
WR,MO-11,559614,0.19761341,0.79359031,0.88274828,0.11725172,0.05673923,0.02685493,0.00085384,0.01007762,0.02135762,427482,-0.5959769,White
WR,MS-01,591682,0.29975542,0.68560074,0.6808661,0.3191339,0.27405295,0.02479974,0.00092905,0.00919044,0.01068625,449924,-0.38584532,White
WR,MS-02,592403,0.67580636,0.31292943,0.27846847,0.72153153,0.69866895,0.01293018,0.00007982,0.00408705,0.00771398,425980,0.36287693,Black
WR,MS-03,592741,0.33415749,0.65578033,0.65227198,0.34772802,0.30773791,0.01688357,0.00060848,0.01037309,0.01267104,448661,-0.32162284,White
WR,MS-04,592121,0.29318976,0.6954452,0.70489075,0.29510925,0.21699183,0.04078349,0.00057162,0.01949239,0.01484661,453100,-0.40225544,White
