id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
CA-3,476446,0.76347962,0.20586219,0.64516543,0.35483457,0.03109547,0.21203692,0.00666331,0.08264448,0.0341521,381792,0.55761743,0.78941717,0.18906401,0.60035316,0.56639601,White
CA-4,476477,0.65321064,0.31451324,0.56576232,0.43423768,0.02785524,0.27214528,0.00743909,0.10333853,0.03947735,380826,0.3386974,0.68197454,0.29475948,0.38721506,0.34940329,White
CA-5,475368,0.43547487,0.5350327,0.59658463,0.40341537,0.03816208,0.21002912,0.008601,0.11586039,0.04590632,359493,-0.09955783,0.46458045,0.50979398,-0.04521353,-0.08690973,White
CA-6,476269,0.481666,0.48655581,0.73678037,0.26321963,0.019094,0.12643979,0.00612988,0.07626742,0.03828067,377658,-0.00488981,0.49944267,0.47587663,0.02356604,-0.00087119,White
CA-7,476222,0.60592587,0.36513714,0.36681413,0.63318587,0.15927232,0.24827002,0.01775918,0.20929701,0.03481468,376594,0.24078873,0.64614325,0.33049371,0.31564954,0.26027567,Minority
CA-8,475983,0.59099277,0.37332947,0.46642977,0.53357023,0.12731867,0.22262818,0.01620354,0.15858484,0.03844548,359366,0.2176633,0.62499182,0.34804319,0.27694863,0.23195841,Minority
CA-9,476197,0.50332222,0.46288639,0.55104481,0.44895519,0.07689091,0.15575482,0.01435254,0.1851837,0.03271275,373035,0.04043583,0.52196905,0.45218836,0.06978069,0.04475078,White
CA-10,476218,0.70258236,0.26073615,0.32636335,0.67363665,0.14277854,0.25161602,0.02526812,0.2548494,0.03528809,368963,0.44184621,0.7416235,0.23466031,0.50696319,0.4580852,Minority
CA-11,476176,0.49969215,0.47039465,0.36357934,0.63642066,0.10034913,0.30110985,0.01426057,0.22179393,0.03508374,352300,0.0292975,0.56106396,0.4175376,0.14352636,0.06190712,Minority
CA-12,476546,0.503195,0.46486142,0.28269163,0.71730837,0.0883865,0.42516339,0.01383138,0.18854682,0.03988809,349929,0.03833358,0.59186014,0.38573928,0.20612086,0.08879601,Hispanic
CA-13,475328,0.38180765,0.59266481,0.66029361,0.33970639,0.02607086,0.20693781,0.00977991,0.06497152,0.04154193,374441,-0.21085716,0.40910521,0.56834731,-0.1592421,-0.19911881,White
CA-14,475770,0.48645502,0.48583706,0.28078479,0.71921521,0.04335292,0.5778343,0.00883465,0.08008723,0.0498594,338893,0.00061796,0.56264053,0.41290734,0.14973319,0.04485637,Hispanic
CA-15,476635,0.39399695,0.58156744,0.50826345,0.49173655,0.03326046,0.36076125,0.00583798,0.06622725,0.05152761,367764,-0.18757049,0.43422812,0.54466915,-0.11044103,-0.16732734,White
CA-16,476972,0.50839763,0.46269089,0.1431412,0.8568588,0.06984493,0.7383258,0.00347407,0.04110932,0.03879138,352037,0.04570674,0.6144509,0.36083146,0.25361944,0.10954431,Hispanic
CA-17,475506,0.33330017,0.64374287,0.47719102,0.52280898,0.05535771,0.36093305,0.00430459,0.07932834,0.04465982,353808,-0.3104427,0.36940987,0.60855533,-0.23914546,-0.29214362,Minority
CA-18,476434,0.56820681,0.40299254,0.21847059,0.78152941,0.08833785,0.52930598,0.00472433,0.15313417,0.0463293,336979,0.16521427,0.64635241,0.33156626,0.31478615,0.2096049,Hispanic
CA-19,476358,0.40906759,0.56808754,0.25599174,0.74400826,0.02695268,0.64776117,0.00351845,0.05740574,0.03773074,332249,-0.15901995,0.48631524,0.49304679,-0.00673155,-0.11372382,Hispanic
CA-20,476590,0.36257922,0.6140437,0.43855797,0.56144203,0.02376118,0.42402919,0.00421738,0.08639243,0.04374297,344764,-0.25146448,0.4042138,0.57520119,-0.17098739,-0.23010545,Minority
CA-21,476052,0.35654045,0.61701532,0.53251984,0.46748016,0.07022841,0.31871526,0.00761921,0.04773465,0.04679024,360011,-0.26047487,0.37780451,0.59710401,-0.2192995,-0.25221641,White
CA-22,475545,0.5400768,0.42985243,0.20516165,0.79483835,0.1902265,0.54771381,0.00621737,0.04998757,0.04391934,341945,0.11022437,0.61673966,0.35699744,0.25974222,0.15459699,Hispanic
CA-23,476719,0.48881141,0.48293494,0.42124904,0.57875096,0.06714306,0.37993572,0.00482235,0.11970945,0.03383594,364967,0.00587647,0.5280346,0.45158741,0.07644719,0.02393338,Minority
CA-24,476228,0.72777974,0.23806642,0.2567499,0.7432501,0.16916613,0.35369273,0.012885,0.20532935,0.03690152,368413,0.48971332,0.79136636,0.1887796,0.60258676,0.52187113,Hispanic
CA-25,476527,0.67414619,0.29408314,0.59201886,0.40798114,0.04709703,0.15662513,0.008257,0.18585016,0.02123113,376287,0.38006305,0.69620841,0.28279922,0.41340919,0.38571176,White
CA-26,476374,0.86910665,0.07658533,0.41485496,0.58514504,0.15966584,0.16663378,0.00739751,0.24699492,0.02749716,400405,0.79252132,0.91650975,0.06222062,0.85428913,0.80764392,Minority
CA-27,476594,0.75768294,0.20705078,0.20313019,0.79686981,0.17134503,0.33497933,0.02177417,0.27616613,0.03561892,370393,0.55063216,0.81707768,0.16304648,0.6540312,0.57963184,Hispanic
CA-28,477006,0.64794836,0.3128367,0.39656965,0.60343035,0.05613649,0.15807301,0.0115786,0.37316622,0.02224064,365502,0.33511166,0.69268465,0.2855274,0.40715725,0.35366019,Minority
CA-29,476828,0.63972116,0.31595479,0.16046709,0.83953291,0.03425871,0.15242374,0.01205026,0.64430793,0.01716559,372606,0.32376637,0.71774997,0.26449754,0.45325243,0.36146172,Asian
CA-30,475345,0.84284612,0.1159788,0.46703886,0.53296114,0.0797055,0.15065686,0.00778856,0.28738614,0.02218946,422543,0.72686732,0.8872615,0.0925165,0.794745,0.74402655,Minority
CA-31,476315,0.75016955,0.20931446,0.29814365,0.70185635,0.04470972,0.15521107,0.00753299,0.49359795,0.01675992,401434,0.54085509,0.80860838,0.1722512,0.63635718,0.56722245,Asian
CA-32,476497,0.7260396,0.23976308,0.36386212,0.63613788,0.02512732,0.22119513,0.01755124,0.36726872,0.02010554,380144,0.48627652,0.77276729,0.20872921,0.56403808,0.50673037,Asian
CA-33,476345,0.7732494,0.19200724,0.48066614,0.51933386,0.03234186,0.17799723,0.01201284,0.28769032,0.0187883,380343,0.58124216,0.80498782,0.17349451,0.63149331,0.59252588,Minority
CA-34,475781,0.6837209,0.27120424,0.26619555,0.73380445,0.02313687,0.12434153,0.00609463,0.57695823,0.01408871,378530,0.41251666,0.73711924,0.24218396,0.49493528,0.43452287,Asian
CA-35,476420,0.66741721,0.29754294,0.2674549,0.7325451,0.04439467,0.2973512,0.00850751,0.38288263,0.02772524,379077,0.36987427,0.7160146,0.26422223,0.45179237,0.39171364,Asian
CA-36,475865,0.71913053,0.24162318,0.59417256,0.40582744,0.02600364,0.16778649,0.00625663,0.18924605,0.02693084,380716,0.47750735,0.74554175,0.22925224,0.51628951,0.48496807,White
CA-37,476496,0.61777165,0.35083735,0.24443339,0.75556661,0.02469633,0.54386706,0.00700327,0.17875998,0.04622883,359689,0.2669343,0.68510743,0.29394186,0.39116557,0.30287806,Hispanic
CA-38,475591,0.6028205,0.36797052,0.36605483,0.63394517,0.03326081,0.50642459,0.00935521,0.08045591,0.0468149,360334,0.23484998,0.65558574,0.32222789,0.33335785,0.26221927,Hispanic
CA-39,476273,0.53575926,0.43385879,0.52840838,0.47159162,0.02726812,0.3570634,0.00513185,0.06572915,0.04186987,376667,0.10190047,0.56013753,0.41492572,0.14521181,0.11087092,White
CA-40,476674,0.66555327,0.30288038,0.46493975,0.53506025,0.02399684,0.41948245,0.00432739,0.07533022,0.03774544,379675,0.36267289,0.69977665,0.27848394,0.42129271,0.37674616,Minority
CA-41,475688,0.54413219,0.42745176,0.48578124,0.51421876,0.02769692,0.35752725,0.00565993,0.1136852,0.0335893,369969,0.11668043,0.57438792,0.40433416,0.17005376,0.12900487,Minority
CA-42,475856,0.64715295,0.32157634,0.20076972,0.79923028,0.04834888,0.65552712,0.00324063,0.09334585,0.03835287,368447,0.32557661,0.74500599,0.23214869,0.5128573,0.38253684,Hispanic
CA-43,476741,0.59844039,0.36829589,0.30501911,0.69498089,0.05494153,0.45076508,0.00397327,0.18574395,0.02963511,377019,0.2301445,0.67075623,0.30843107,0.36232516,0.26873805,Hispanic
CA-44,476026,0.59958203,0.37286509,0.6660324,0.3339676,0.04349782,0.14362166,0.00365304,0.13204206,0.01632105,386801,0.22671694,0.64626764,0.33560099,0.31066665,0.24923351,White
CA-45,475732,0.71369307,0.25942113,0.66052313,0.33947687,0.061045,0.13010024,0.00350342,0.13275089,0.01579697,411598,0.45427194,0.75464575,0.22966399,0.52498176,0.47237521,White
CA-46,475716,0.69208788,0.27495463,0.62360997,0.37639003,0.04723057,0.13381447,0.00523379,0.17769582,0.01799067,395316,0.41713325,0.71680018,0.26167134,0.45512884,0.42433178,White
CA-47,475948,0.74805021,0.21222817,0.18954083,0.81045917,0.1018257,0.45848866,0.00316914,0.24842245,0.04096656,391905,0.53582204,0.80621998,0.17346977,0.63275021,0.56266476,Hispanic
CA-48,476744,0.77430535,0.1806284,0.26904664,0.73095336,0.04124363,0.52586389,0.00360003,0.16120378,0.03676716,392497,0.59367695,0.83118309,0.14792185,0.68326124,0.61807171,Hispanic
CA-49,476785,0.74066368,0.2246343,0.08731796,0.91268204,0.18627813,0.63846677,0.00297094,0.08863128,0.04099346,360155,0.51602938,0.84654508,0.12993099,0.71661409,0.57742428,Hispanic
CA-50,475916,0.67684344,0.28655525,0.02451843,0.97548157,0.02004761,0.9358613,0.00176615,0.02138999,0.04932411,351613,0.39028819,0.80387521,0.17221269,0.63166252,0.46527963,Hispanic
CA-51,476253,0.82225617,0.14633025,0.18279496,0.81720504,0.34379948,0.37926842,0.00408108,0.09238471,0.03160724,378331,0.67592592,0.87374652,0.10732552,0.766421,0.70062428,Hispanic
CA-52,477074,0.76014487,0.20910704,0.06571554,0.93428446,0.32306704,0.55248299,0.0082051,0.05806151,0.03721509,361117,0.55103783,0.83600149,0.14327065,0.69273084,0.59280217,Hispanic
