id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AZ-23,188853,0.66501117,0.31464992,0.55882704,0.44117296,0.0762525,0.20711464,0.0060482,0.11598972,0.05447146,159221,0.35036125,White
AZ-24,187842,0.76182475,0.22077966,0.2365082,0.7634918,0.14788686,0.55704634,0.00635508,0.03487279,0.05303433,137213,0.54104509,Hispanic
AZ-25,187552,0.73875819,0.24601901,0.19129457,0.80870543,0.15267442,0.59684496,0.00524806,0.04053488,0.04692248,129000,0.49273918,Hispanic
AZ-26,187976,0.5807113,0.40365451,0.3314824,0.6685176,0.09443463,0.50864714,0.00659534,0.04335771,0.03786406,135247,0.17705679,Hispanic
AZ-27,188692,0.47819027,0.50583204,0.49197994,0.50802006,0.08982176,0.34892749,0.00665292,0.04790835,0.03342545,136782,-0.0276417700000001,Minority
AZ-28,187566,0.34110294,0.64767736,0.76960567,0.23039433,0.03223011,0.13051496,0.00332769,0.04421674,0.02346718,144244,-0.30657442,White
AZ-29,188008,0.40176725,0.58652168,0.72613622,0.27386378,0.05789613,0.15878939,0.00472704,0.0351413,0.0231747,147661,-0.18475443,White
AZ-30,188521,0.46101395,0.5244209,0.65198526,0.34801474,0.05956426,0.22200512,0.00360065,0.04284837,0.03009907,153028,-0.06340695,White
AZ-31,188628,0.66396535,0.31954807,0.22040788,0.77959212,0.10508616,0.61486664,0.00384123,0.04247721,0.04118908,129646,0.34441728,Hispanic
AZ-32,188022,0.77761055,0.20767373,0.25540692,0.74459308,0.07573346,0.61483418,0.00281116,0.03280664,0.04655578,136954,0.56993682,Hispanic
AZ-33,188412,0.60643889,0.3738669,0.417931,0.582069,0.11108209,0.37941868,0.00437014,0.0559011,0.05605642,141643,0.23257199,Minority
AZ-34,188163,0.41651337,0.56713384,0.71081418,0.28918582,0.04548778,0.1578331,0.00406818,0.05828121,0.02845694,147732,-0.15062047,White
AZ-35,188518,0.48743264,0.49615219,0.68188667,0.31811333,0.05303025,0.15748171,0.00362035,0.08005673,0.02833553,146671,-0.00871955000000002,White
AZ-36,188702,0.58268503,0.40191378,0.66465496,0.33534504,0.05056951,0.20592658,0.00326276,0.04702559,0.03694307,152938,0.18077125,White
AZ-37,188743,0.4531814,0.53691264,0.82215088,0.17784912,0.02261334,0.06099231,0.00188551,0.0755604,0.01304567,156987,-0.08373124,White
AZ-38,188480,0.56036124,0.42615891,0.72290859,0.27709141,0.04002775,0.14378331,0.00301454,0.04638476,0.05080566,158565,0.13420233,White
CA-1,186508,0.60707293,0.36022115,0.70277772,0.29722228,0.02520539,0.12275786,0.0066368,0.04594458,0.10080181,152031,0.24685178,White
CA-2,186091,0.58141587,0.39360734,0.77476624,0.22523376,0.00934389,0.13258451,0.0044219,0.03057162,0.04708135,151971,0.18780853,White
CA-3,186884,0.61798559,0.36083883,0.10250224,0.89749776,0.03058603,0.83872433,0.00218573,0.02526364,0.0390238,140914,0.25714676,Hispanic
CA-4,185953,0.5859802,0.38966243,0.19938599,0.80061401,0.18768333,0.54950074,0.0087542,0.05345988,0.04447771,131594,0.19631777,Hispanic
CA-5,187013,0.62833208,0.34817874,0.19783329,0.80216671,0.14350173,0.5969398,0.00454935,0.05672909,0.04371393,134305,0.28015334,Hispanic
CA-6,186728,0.56639988,0.40570431,0.28868711,0.71131289,0.2112622,0.43097431,0.00534364,0.06022099,0.04222782,138108,0.16069557,Hispanic
CA-7,186420,0.62966467,0.3436467,0.67462849,0.32537151,0.018185,0.22014483,0.00459673,0.02757363,0.06227454,148584,0.28601797,White
CA-8,186054,0.84469586,0.13738613,0.69645968,0.30354032,0.03575426,0.1566352,0.00521278,0.08519291,0.02822322,150975,0.70730973,White
CA-9,186042,0.75610834,0.21799708,0.53583964,0.46416036,0.03269871,0.31920205,0.00990201,0.0772233,0.04829645,145021,0.53811126,White
CA-10,186094,0.76291223,0.21421204,0.70491154,0.29508846,0.02209533,0.18311988,0.00609321,0.05717586,0.03397808,151480,0.54870019,White
CA-11,186157,0.71943825,0.25797789,0.65901618,0.34098382,0.02035108,0.22310212,0.00610467,0.06806838,0.03162376,152670,0.46146036,White
CA-12,186783,0.51981625,0.45123394,0.72055306,0.27944694,0.02655339,0.14857904,0.00704981,0.05248043,0.0535399,150075,0.06858231,White
CA-13,186245,0.3270649,0.65078898,0.74461574,0.25538426,0.02916796,0.11874419,0.00652696,0.0370313,0.06659307,154896,-0.32372408,White
CA-14,186199,0.33478771,0.64268362,0.66010394,0.33989606,0.01390881,0.23674794,0.00509067,0.02932281,0.06304758,140846,-0.30789591,White
CA-15,186102,0.37433254,0.60065234,0.56166768,0.43833232,0.03513447,0.24406361,0.00720022,0.10785886,0.05986943,138468,-0.2263198,White
CA-16,186787,0.41561798,0.56098982,0.67418293,0.32581707,0.01972156,0.16480949,0.00624896,0.10524388,0.03680252,144664,-0.14537184,White
CA-17,185754,0.40515267,0.57202666,0.7888084,0.2111916,0.01310088,0.0962153,0.00503047,0.05618822,0.0369262,147700,-0.16687399,White
