HD,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,Majority,Lean,Seats,State
MD-6,6,131980,0.00448183,0.39895114,0.57063975,0.77036575,0.22963425,0.11231739,0.0383877,0.00139361,0.05941858,0.01732758,102611,-0.17168861,0.40129725,0.57225886,-0.17096161,-0.000727,White,-0.17644628,3,MD
MD-7A,7A,43911,0.00260194,0.4765625,0.49813433,0.5689845,0.4310155,0.31696867,0.06471481,0.0011604,0.02457675,0.02773067,33609,-0.02157183,0.48257713,0.4938294,-0.01125227,-0.01031956,White,-0.02313198,1,MD
MD-7B,7B,42894,-0.0206188,0.35572938,0.61672684,0.69555243,0.30444757,0.11323871,0.12905298,0.00131531,0.03132265,0.03474856,32692,-0.26099746,0.37100915,0.60529261,-0.23428346,-0.026714,White,-0.25709279,1,MD
MD-7C,7C,43747,-0.0011426,0.3582967,0.61565934,0.72813267,0.27186733,0.15084691,0.06878714,0.00135978,0.02104703,0.03319637,33829,-0.25736264,0.38468762,0.59089654,-0.20620892,-0.05115372,White,-0.2453114,1,MD
MD-8,8,127530,-0.02938652,0.53305723,0.43103045,0.72738055,0.27261945,0.12699583,0.0591026,0.00103654,0.07232842,0.01335539,100334,0.10202678,0.54127948,0.42880163,0.11247785,-0.01045107,White,0.10051047,3,MD
MD-9A,9A,42864,-0.02130378,0.64147376,0.33228283,0.42075015,0.57924985,0.41630369,0.07014519,0.00093769,0.07955233,0.01814882,33060,0.30919093,0.65252827,0.32715376,0.32537451,-0.01618358,Minority,0.30958546,1,MD
MD-9B,9B,44707,0.02077669,0.53533698,0.43401639,0.62534309,0.37465691,0.19307525,0.03713975,0.0012866,0.12983188,0.01426693,34976,0.10132059,0.54123335,0.43431856,0.10691479,-0.0055942,White,0.09818532,1,MD
MD-9C,9C,42715,-0.02470584,0.64790616,0.32045478,0.53523747,0.46476253,0.34415409,0.05541388,0.00096007,0.05124359,0.01785125,33331,0.32745138,0.64676798,0.32268138,0.3240866,0.00336478,White,0.32132979,1,MD
MD-10,10,127932,-0.02632695,0.62952155,0.33398015,0.71967021,0.28032979,0.15091351,0.04185319,0.00111176,0.07833453,0.0099271,101641,0.2955414,0.64625226,0.32531762,0.32093464,-0.02539324,White,0.29900581,3,MD
MD-11,11,129333,-0.01566413,0.79643014,0.16673999,0.24668435,0.75331565,0.61370568,0.05808721,0.00167894,0.07784699,0.01465343,100659,0.62969015,0.83509945,0.14447392,0.69062553,-0.06093538,Black,0.64500194,3,MD
MD-12,12,129676,-0.0130536,0.67530515,0.28917609,0.39527153,0.60472847,0.45187663,0.07544668,0.00172748,0.06599576,0.01971537,99567,0.38612906,0.70157962,0.27294336,0.42863626,-0.0425072,Black,0.39529813,3,MD
MD-13,13,130792,-0.00455988,0.81743001,0.15130158,0.27802843,0.72197157,0.56361668,0.12829614,0.00135355,0.02297018,0.02176703,99738,0.66612843,0.841672,0.13848027,0.70319173,-0.0370633,Black,0.67348286,3,MD
MD-14,14,130010,-0.01051157,0.88743972,0.0796069,0.30776611,0.69223389,0.55743124,0.04813566,0.00124448,0.08255356,0.01387926,105265,0.80783282,0.9081391,0.07339613,0.83474297,-0.02691015,Black,0.81180287,3,MD
MD-15,15,129438,-0.01486499,0.81889407,0.14514065,0.26641281,0.73358719,0.63402973,0.04521767,0.00117886,0.04982083,0.01386563,106883,0.67375342,0.86073876,0.11870246,0.7420363,-0.06828288,Black,0.69151438,3,MD
MD-16,16,129376,-0.01533686,0.85256125,0.11519666,0.37206265,0.62793735,0.52094741,0.04903122,0.00098883,0.0526414,0.01362911,107197,0.73736459,0.87325722,0.10399677,0.76926045,-0.03189586,Black,0.74299654,3,MD
MD-17,17,130099,-0.00983421,0.67985795,0.28999401,0.42271832,0.57728168,0.46720982,0.05134465,0.00108827,0.05198192,0.0158338,101997,0.38986394,0.70133117,0.27419891,0.42713226,-0.03726832,Black,0.39728671,3,MD
MD-18,18,130024,-0.01040502,0.33811848,0.62958504,0.87467453,0.12532547,0.04250553,0.03709162,0.00104151,0.02291329,0.01784328,101775,-0.29146656,0.34112916,0.62346011,-0.28233095,-0.00913561,White,-0.29342136,3,MD
MD-19,19,129909,-0.01128027,0.75149713,0.20702201,0.49056472,0.50943528,0.25606768,0.08852266,0.00174005,0.15709471,0.01743052,99997,0.54447512,0.77600286,0.1957806,0.58022226,-0.03574714,Minority,0.55139083,3,MD
MD-20A,20A,42569,-0.02803939,0.66395462,0.28801897,0.48267694,0.51732306,0.13277327,0.0448473,0.00148438,0.32969081,0.00938003,31663,0.37593565,0.6865059,0.28592752,0.40057838,-0.02464273,Minority,0.37914989,1,MD
