,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,PopDensity
95,9,770050.0,0.53363692,0.45041695,0.31802717,0.68197283,0.14247947,0.49563334,0.00283711,0.05327781,0.01919548,594619,0.08321996999999998,Hispanic,3924196.8032668727
96,10,769949.0,0.53144296,0.45102217,0.50434236,0.49565764,0.12586626,0.2760648,0.0028398,0.07297392,0.01756258,610958,0.08042079000000002,White,6508432.352480584
97,11,768594.0,0.35900076,0.63019612,0.70240301,0.29759699,0.11307921,0.14474415,0.0016167,0.02280695,0.01925556,635245,-0.27119536000000005,White,1658989.4852897122
98,12,768426.0,0.37647285,0.60946927,0.69614597,0.30385403,0.07190212,0.17136935,0.00173491,0.04344005,0.01987278,609829,-0.23299641999999993,White,2934063.868374909
99,13,769029.0,0.50329219,0.48257262,0.69826216,0.30173784,0.12470082,0.12538842,0.00140455,0.03397967,0.01624584,647181,0.02071957000000002,White,10091357.211984351
100,14,769471.0,0.55042891,0.4293092,0.43618213,0.56381787,0.24372628,0.25661726,0.00239475,0.06367945,0.01845262,599644,0.12111971000000005,Minority,10209156.135689631
101,15,769322.0,0.37549692,0.61185205,0.59971276,0.40028724,0.11573526,0.24135504,0.00199648,0.03172602,0.02238154,592542,-0.23635512999999997,White,1018791.4662084781
102,16,768510.0,0.41823327,0.56858509,0.71141356,0.28858644,0.06311036,0.16603914,0.00187013,0.04285603,0.01754007,643270,-0.15035182000000002,White,12448871.528826859
103,17,769239.0,0.33532471,0.65451382,0.81978745,0.18021255,0.04079424,0.09912611,0.00118371,0.02149255,0.0145254,651342,-0.31918911,White,1838093.292811663
104,18,769194.0,0.35754826,0.63176222,0.68439835,0.31560165,0.09189817,0.18338425,0.00152115,0.02427878,0.01713503,621242,-0.27421396000000003,White,506662.743894247
105,19,768533.0,0.36308423,0.62551647,0.69460954,0.30539046,0.07629837,0.19471741,0.00108178,0.02144177,0.01355821,639686,-0.26243224,White,4348602.097775905
106,20,768690.0,0.52947381,0.45763149,0.51656854,0.48343146,0.24185561,0.19843978,0.00158691,0.03383808,0.01442371,621962,0.07184232000000007,White,2254449.263896937
107,21,769828.0,0.40395161,0.5832968,0.70635747,0.29364253,0.12125668,0.12359574,0.0018226,0.03041249,0.01781537,633161,-0.17934518999999993,White,1976792.7691758042
108,22,769458.0,0.5335472,0.45415422,0.5076453,0.4923547,0.15739084,0.26970224,0.00161745,0.04640444,0.01180084,612075,0.07939298,White,15090404.893109595
109,23,768642.0,0.61325132,0.37562336,0.3973101,0.6026899,0.35257415,0.20626271,0.00174026,0.02683678,0.0115496,626342,0.23762796000000003,Minority,22345212.087098718
110,24,768650.0,0.63966722,0.34967428,0.12728435,0.87271565,0.45100251,0.41886635,0.00129174,0.02128389,0.00870102,603837,0.28999294,Black,29314968.975819405
111,25,769557.0,0.53563083,0.45098369,0.3315771,0.6684229,0.18807251,0.41751002,0.00190355,0.06472571,0.0123168,604134,0.08464714000000001,Hispanic,3277503.5310702617
112,26,770100.0,0.30290156,0.68827858,0.17240622,0.82759378,0.04492793,0.78077469,0.00073308,0.01369783,0.00835299,632947,-0.38537701999999996,Hispanic,1310685.0942085644
113,27,768936.0,0.5021092,0.48500794,0.22218549,0.77781451,0.14398665,0.61061314,0.00115626,0.02985587,0.01225633,614050,0.017101260000000007,Hispanic,13323742.360526552
114,28,768591.0,0.34149854,0.64921288,0.16398266,0.83601734,0.04885186,0.77190967,0.00083559,0.02273497,0.00849673,631890,-0.30771434,Hispanic,1402084.8352994034
115,1,727502.0,0.59628087,0.38242165,0.31815095,0.68184905,0.02401282,0.09569419,0.28379491,0.4325984,0.03034013,568488,0.21385921999999996,Asian,492806.23751056276
