,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority,PopDensity
64,44,760301,0.75209082,0.21792553,0.05782188,0.94217812,0.31732002,0.53557719,0.0086642,0.08922328,0.03470396,572586,0.53416529,0.82803602,0.15091408,0.67712194,-0.14295665,0.5360003468965517,0.625162878367816,-0.08916253147126427,Hispanic,41767309.17382408
65,45,760233,0.4934624,0.47683702,0.27866892,0.72133108,0.02929153,0.27056427,0.00810135,0.41209894,0.02267684,604714,0.01662538,0.52293154,0.45768445,0.06524709,-0.04862171,0.01846043689655174,0.013288028367816042,0.005172408528735704,Asian,28975454.347779308
66,46,760059,0.57507665,0.3942972,0.1727339,0.8272661,0.02577293,0.61843801,0.00645878,0.17695223,0.04368615,578902,0.18077945,0.64139248,0.3369847,0.30440778,-0.12362833,0.18261450689655168,0.2524487183678161,-0.06983421147126442,Hispanic,40605304.77452739
67,47,760308,0.50297968,0.46246478,0.53343617,0.46656383,0.02421189,0.15944722,0.00598209,0.26666623,0.01790089,617176,0.0405149,0.54361718,0.43514702,0.10847016,-0.06795526,0.04234995689655174,0.05651109836781613,-0.014161141471264384,White,17156101.00680419
68,48,759815,0.3880422,0.58793025,0.58830187,0.41169813,0.04947313,0.2395264,0.00948334,0.09392252,0.03931524,579648,-0.19988805,0.40424397,0.57419334,-0.16994937,-0.02993868,-0.19805299310344826,-0.2219084316321839,0.023855438528735638,White,802822.2294150587
69,49,760114,0.52707629,0.44466213,0.57006793,0.42993207,0.03563637,0.28329843,0.01006276,0.09018088,0.03047336,596357,0.08241416,0.54627584,0.43056554,0.1157103,-0.03329614,0.08424921689655174,0.06375123836781602,0.020497978528735715,White,6387171.39370503
70,50,760450,0.59532068,0.37250694,0.55238329,0.44761671,0.03613832,0.18963816,0.00696777,0.20436818,0.01976504,607942,0.22281374,0.61692536,0.35921702,0.25770834,-0.0348946,0.22464879689655176,0.20574927836781606,0.01889951852873569,White,10553196.293785214
71,51,759527,0.66465292,0.30232889,0.49280685,0.50719315,0.07787972,0.24238825,0.00937922,0.17235033,0.02621668,620521,0.36232403,0.688505,0.2877582,0.4007468,-0.03842277,0.3641590868965517,0.3487877383678161,0.015371348528735583,Minority,17967763.338253077
72,52,760751,0.58039585,0.39406408,0.17222363,0.82777637,0.09256267,0.56487251,0.01159743,0.17219954,0.0326707,581163,0.18633177,0.65861371,0.32044312,0.33817059,-0.15183882,0.1881668268965518,0.2862115283678161,-0.09804470147126429,Hispanic,19314101.093480166
73,1,721689,0.76745686,0.20460447,0.58791082,0.41208918,0.09704478,0.24424493,0.00358642,0.05219916,0.03341135,586657,0.56285239,0.79613935,0.18110119,0.61503816,-0.05218577,0.5646874468965517,0.5630790983678161,0.0016083485287356133,White,17033401.38302536
